KEGG_pathway,Biochemical_class,Enzyme_class,PDB_structure,Mode_of_action,Outcome
"PI3K-Akt signaling pathway, Focal adhesion, ECM-receptor interaction, Cell adhesion molecules (CAMs), Intestinal immune network for IgA production, Regulation of actin cytoskeleton, Transcriptional misregulation in cancer, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",Integrin,,"3V4V, 3V4P, 2BRQ",.,1.0
"ErbB signaling pathway, Calcium signaling pathway, HIF-1 signaling pathway, Focal adhesion, Adherens junction, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Pancreatic cancer, Endometrial cancer, Prostate cancer, Bladder cancer, Non-small cell lung cancer, Central carbon metabolism in cancer",Kinase,Transferases,"6OGE, 6J71, 6BGT, 6ATT, 5TQS",CAR-T-Cell-Therapy,1.0
"ErbB signaling pathway, Calcium signaling pathway, HIF-1 signaling pathway, Focal adhesion, Adherens junction, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Pancreatic cancer, Endometrial cancer, Prostate cancer, Bladder cancer, Non-small cell lung cancer, Central carbon metabolism in cancer",Kinase,Transferases,"6OGE, 6J71, 6BGT, 6ATT, 5TQS",Binder,1.0
"ErbB signaling pathway, Calcium signaling pathway, HIF-1 signaling pathway, Focal adhesion, Adherens junction, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Pancreatic cancer, Endometrial cancer, Prostate cancer, Bladder cancer, Non-small cell lung cancer, Central carbon metabolism in cancer",Kinase,Transferases,"6OGE, 6J71, 6BGT, 6ATT, 5TQS",.,1.0
"ErbB signaling pathway, Calcium signaling pathway, HIF-1 signaling pathway, Focal adhesion, Adherens junction, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Pancreatic cancer, Endometrial cancer, Prostate cancer, Bladder cancer, Non-small cell lung cancer, Central carbon metabolism in cancer",Kinase,Transferases,"6OGE, 6J71, 6BGT, 6ATT, 5TQS",Inhibitor,1.0
"ErbB signaling pathway, Calcium signaling pathway, HIF-1 signaling pathway, Focal adhesion, Adherens junction, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Pancreatic cancer, Endometrial cancer, Prostate cancer, Bladder cancer, Non-small cell lung cancer, Central carbon metabolism in cancer",Kinase,Transferases,"6OGE, 6J71, 6BGT, 6ATT, 5TQS",Modulator,1.0
"ErbB signaling pathway, Calcium signaling pathway, HIF-1 signaling pathway, Focal adhesion, Adherens junction, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Pancreatic cancer, Endometrial cancer, Prostate cancer, Bladder cancer, Non-small cell lung cancer, Central carbon metabolism in cancer",Kinase,Transferases,"6OGE, 6J71, 6BGT, 6ATT, 5TQS",Enhancer,1.0
"ErbB signaling pathway, Calcium signaling pathway, HIF-1 signaling pathway, Focal adhesion, Adherens junction, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Pancreatic cancer, Endometrial cancer, Prostate cancer, Bladder cancer, Non-small cell lung cancer, Central carbon metabolism in cancer",Kinase,Transferases,"6OGE, 6J71, 6BGT, 6ATT, 5TQS",Immunomodulator,1.0
"ErbB signaling pathway, Calcium signaling pathway, HIF-1 signaling pathway, Focal adhesion, Adherens junction, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Pancreatic cancer, Endometrial cancer, Prostate cancer, Bladder cancer, Non-small cell lung cancer, Central carbon metabolism in cancer",Kinase,Transferases,"6OGE, 6J71, 6BGT, 6ATT, 5TQS",Antagonist,1.0
Complement and coagulation cascades,,,"5K8D, 4XZU, 4PT6, 4KI5, 4BDV",Inhibitor,1.0
Complement and coagulation cascades,,,"5K8D, 4XZU, 4PT6, 4KI5, 4BDV",Modulator,1.0
Complement and coagulation cascades,,,"5K8D, 4XZU, 4PT6, 4KI5, 4BDV",Stimulator,1.0
Complement and coagulation cascades,,,"5K8D, 4XZU, 4PT6, 4KI5, 4BDV",Replacement,1.0
Complement and coagulation cascades,,,"5K8D, 4XZU, 4PT6, 4KI5, 4BDV",.,1.0
,mRNA target,,"6OVC, 6OQN, 6OQD, 6OQC, 6OQB",.,1.0
"Cell adhesion molecules (CAMs), T cell receptor signaling pathway, Autoimmune thyroid disease, Rheumatoid arthritis",Immunoglobulin,,"5XJ3, 5TRU, 5GGV, 3OSK, 3BX7",.,1.0
"Cell adhesion molecules (CAMs), T cell receptor signaling pathway, Autoimmune thyroid disease, Rheumatoid arthritis",Immunoglobulin,,"5XJ3, 5TRU, 5GGV, 3OSK, 3BX7",Inhibitor,1.0
"Cell adhesion molecules (CAMs), T cell receptor signaling pathway, Autoimmune thyroid disease, Rheumatoid arthritis",Immunoglobulin,,"5XJ3, 5TRU, 5GGV, 3OSK, 3BX7",Modulator,1.0
"Cell adhesion molecules (CAMs), T cell receptor signaling pathway, Autoimmune thyroid disease, Rheumatoid arthritis",Immunoglobulin,,"5XJ3, 5TRU, 5GGV, 3OSK, 3BX7",Agonist,1.0
"Cell adhesion molecules (CAMs), T cell receptor signaling pathway, Autoimmune thyroid disease, Rheumatoid arthritis",Immunoglobulin,,"5XJ3, 5TRU, 5GGV, 3OSK, 3BX7",Antagonist,1.0
"Axon guidance, HTLV-I infection",Neuropilin and tolloid-like,,"6FMF, 6FMC, 5L73, 5JHK, 5JGQ",Inhibitor,1.0
"Axon guidance, HTLV-I infection",Neuropilin and tolloid-like,,"6FMF, 6FMC, 5L73, 5JHK, 5JGQ",Modulator,1.0
"Axon guidance, HTLV-I infection",Neuropilin and tolloid-like,,"6FMF, 6FMC, 5L73, 5JHK, 5JGQ",.,1.0
"Valine, leucine and isoleucine degradation, Glyoxylate and dicarboxylate metabolism, Propanoate metabolism, Metabolic pathways, Carbon metabolism",Intramolecular transferases,Isomerases,"3BIC, 2XIQ, 2XIJ",Replacement,1.0
"Valine, leucine and isoleucine degradation, Glyoxylate and dicarboxylate metabolism, Propanoate metabolism, Metabolic pathways, Carbon metabolism",Intramolecular transferases,Isomerases,"3BIC, 2XIQ, 2XIJ",Cofactor,1.0
"Adherens junction, Insulin signaling pathway",mRNA target,Hydrolases,"6CWV, 6CWU, 6BAI, 6B95, 6B90",Inhibitor,1.0
"Adherens junction, Insulin signaling pathway",mRNA target,Hydrolases,"6CWV, 6CWU, 6BAI, 6B95, 6B90",.,1.0
"Adherens junction, Insulin signaling pathway",mRNA target,Hydrolases,"6CWV, 6CWU, 6BAI, 6B95, 6B90",Modulator,1.0
"Fatty acid biosynthesis, Metabolic pathways, Fatty acid metabolism, AMPK signaling pathway, Insulin signaling pathway",Acyltransferase,Transferases,"6NNA, 5C37, 4Z49, 4W9N, 4W82",Inhibitor,1.0
"Fatty acid biosynthesis, Metabolic pathways, Fatty acid metabolism, AMPK signaling pathway, Insulin signaling pathway",Acyltransferase,Transferases,"6NNA, 5C37, 4Z49, 4W9N, 4W82",.,1.0
Nitrogen metabolism,Alpha-carbonic anhydrase,Lyases,"6G7A, 6G5L, 5MSB, 5MSA, 5LLP",Inhibitor,1.0
"Cytokine-cytokine receptor interaction, Neuroactive ligand-receptor interaction, AMPK signaling pathway, Jak-STAT signaling pathway, Adipocytokine signaling pathway, Non-alcoholic fatty liver disease (NAFLD)",Cytokine receptor,,"6E2P, 3V6O",Modulator,1.0
"Cytokine-cytokine receptor interaction, Neuroactive ligand-receptor interaction, AMPK signaling pathway, Jak-STAT signaling pathway, Adipocytokine signaling pathway, Non-alcoholic fatty liver disease (NAFLD)",Cytokine receptor,,"6E2P, 3V6O",Antagonist,1.0
"Cytokine-cytokine receptor interaction, Neuroactive ligand-receptor interaction, AMPK signaling pathway, Jak-STAT signaling pathway, Adipocytokine signaling pathway, Non-alcoholic fatty liver disease (NAFLD)",Cytokine receptor,,"6E2P, 3V6O",Agonist,1.0
"One carbon pool by folate, Folate biosynthesis, Metabolic pathways",CH-NH donor oxidoreductase,Oxidoreductases,"6DE4, 6DAV, 6A7E, 6A7C, 5HVE",Modulator,1.0
"One carbon pool by folate, Folate biosynthesis, Metabolic pathways",CH-NH donor oxidoreductase,Oxidoreductases,"6DE4, 6DAV, 6A7E, 6A7C, 5HVE",Inhibitor,1.0
Histidine metabolism,Methyltransferase,Transferases,"2AOX, 2AOW, 2AOV, 2AOU, 2AOT",Inhibitor,1.0
"NF-kappa B signaling pathway, Complement and coagulation cascades, Transcriptional misregulation in cancer, Proteoglycans in cancer, MicroRNAs in cancer",Peptidase,Hydrolases,"6NMB, 5ZC5, 5ZAJ, 5ZAH, 5ZAG",Inhibitor,1.0
"NF-kappa B signaling pathway, Complement and coagulation cascades, Transcriptional misregulation in cancer, Proteoglycans in cancer, MicroRNAs in cancer",Peptidase,Hydrolases,"6NMB, 5ZC5, 5ZAJ, 5ZAH, 5ZAG",Activator,1.0
"NF-kappa B signaling pathway, Complement and coagulation cascades, Transcriptional misregulation in cancer, Proteoglycans in cancer, MicroRNAs in cancer",Peptidase,Hydrolases,"6NMB, 5ZC5, 5ZAJ, 5ZAH, 5ZAG",Modulator,1.0
"Sphingolipid signaling pathway, Axon guidance, Osteoclast differentiation, Focal adhesion, Adherens junction, Platelet activation, Natural killer cell mediated cytotoxicity, T cell receptor signaling pathway, Fc epsilon RI signaling pathway, Cholinergic synapse, Prion diseases, Pathogenic Escherichia coli infection, Measles, Viral myocarditis",Kinase,Transferases,"6IPZ, 6IPY, 6EDF, 4ZNX, 4U1P",Inhibitor,1.0
"Protein processing in endoplasmic reticulum, PI3K-Akt signaling pathway, Antigen processing and presentation, NOD-like receptor signaling pathway, Progesterone-mediated oocyte maturation, Estrogen signaling pathway, Pathways in cancer, Prostate cancer",Heat shock protein,,"6GR5, 6GR4, 6GR3, 6GR1, 6GQU",Inhibitor,1.0
"Protein processing in endoplasmic reticulum, PI3K-Akt signaling pathway, Antigen processing and presentation, NOD-like receptor signaling pathway, Progesterone-mediated oocyte maturation, Estrogen signaling pathway, Pathways in cancer, Prostate cancer",Heat shock protein,,"6GR5, 6GR4, 6GR3, 6GR1, 6GQU",Modulator,1.0
"Protein processing in endoplasmic reticulum, PI3K-Akt signaling pathway, Antigen processing and presentation, NOD-like receptor signaling pathway, Progesterone-mediated oocyte maturation, Estrogen signaling pathway, Pathways in cancer, Prostate cancer",Heat shock protein,,"6GR5, 6GR4, 6GR3, 6GR1, 6GQU",.,1.0
GnRH signaling pathway,Gonadotropin-releasing hormone,,4D5M,Inhibitor,1.0
GnRH signaling pathway,Gonadotropin-releasing hormone,,4D5M,Modulator,1.0
GnRH signaling pathway,Gonadotropin-releasing hormone,,4D5M,.,1.0
GnRH signaling pathway,Gonadotropin-releasing hormone,,4D5M,Activator,1.0
"Arachidonic acid metabolism, Metabolic pathways",Intramolecular oxidoreductases,Isomerases,"6N4E, 5YX1, 5YWX, 5YWE, 5AIX",Inhibitor,1.0
"Arachidonic acid metabolism, Metabolic pathways",Intramolecular oxidoreductases,Isomerases,"6N4E, 5YX1, 5YWX, 5YWE, 5AIX",Stimulator,1.0
"Cytokine-cytokine receptor interaction, PI3K-Akt signaling pathway, Jak-STAT signaling pathway, Hematopoietic cell lineage, Malaria",Cytokine: interleukin,,"5ZO6, 5GW9, 2D9Q, 1RHG, 1PGR",Modulator,1.0
"MAPK signaling pathway, Cytokine-cytokine receptor interaction, NF-kappa B signaling pathway, Sphingolipid signaling pathway, mTOR signaling pathway, Apoptosis, TGF-beta signaling pathway, Osteoclast differentiation, Antigen processing and presentation, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, RIG-I-like receptor signaling pathway, Hematopoietic cell lineage, Natural killer cell mediated cytotoxicity, T cell receptor signaling pathway, Fc epsilon RI signaling pathway, TNF signaling pathway, Adipocytokine signaling pathway, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Type I diabetes mellitus, Alzheimer's disease, Amyotrophic lateral sclerosis (ALS), Pertussis, Legionellosis, Leishmaniasis, Chagas disease (American trypanosomiasis), African trypanosomiasis, Malaria, Toxoplasmosis, Amoebiasis, Tuberculosis, Hepatitis C, Hepatitis B, Influenza A, HTLV-I infection, Herpes simplex infection, Proteoglycans in cancer, Asthma, Inflammatory bowel disease (IBD), Systemic lupus erythematosus, Rheumatoid arthritis, Allograft rejection, Graft-versus-host disease, Hypertrophic cardiomyopathy (HCM), Dilated cardiomyopathy",Cytokine: tumor necrosis factor,,"5YOY, 5WUX, 5UUI, 5TSW, 5MU8",Inhibitor,1.0
"MAPK signaling pathway, Cytokine-cytokine receptor interaction, NF-kappa B signaling pathway, Sphingolipid signaling pathway, mTOR signaling pathway, Apoptosis, TGF-beta signaling pathway, Osteoclast differentiation, Antigen processing and presentation, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, RIG-I-like receptor signaling pathway, Hematopoietic cell lineage, Natural killer cell mediated cytotoxicity, T cell receptor signaling pathway, Fc epsilon RI signaling pathway, TNF signaling pathway, Adipocytokine signaling pathway, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Type I diabetes mellitus, Alzheimer's disease, Amyotrophic lateral sclerosis (ALS), Pertussis, Legionellosis, Leishmaniasis, Chagas disease (American trypanosomiasis), African trypanosomiasis, Malaria, Toxoplasmosis, Amoebiasis, Tuberculosis, Hepatitis C, Hepatitis B, Influenza A, HTLV-I infection, Herpes simplex infection, Proteoglycans in cancer, Asthma, Inflammatory bowel disease (IBD), Systemic lupus erythematosus, Rheumatoid arthritis, Allograft rejection, Graft-versus-host disease, Hypertrophic cardiomyopathy (HCM), Dilated cardiomyopathy",Cytokine: tumor necrosis factor,,"5YOY, 5WUX, 5UUI, 5TSW, 5MU8",Modulator,1.0
"MAPK signaling pathway, Cytokine-cytokine receptor interaction, NF-kappa B signaling pathway, Sphingolipid signaling pathway, mTOR signaling pathway, Apoptosis, TGF-beta signaling pathway, Osteoclast differentiation, Antigen processing and presentation, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, RIG-I-like receptor signaling pathway, Hematopoietic cell lineage, Natural killer cell mediated cytotoxicity, T cell receptor signaling pathway, Fc epsilon RI signaling pathway, TNF signaling pathway, Adipocytokine signaling pathway, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Type I diabetes mellitus, Alzheimer's disease, Amyotrophic lateral sclerosis (ALS), Pertussis, Legionellosis, Leishmaniasis, Chagas disease (American trypanosomiasis), African trypanosomiasis, Malaria, Toxoplasmosis, Amoebiasis, Tuberculosis, Hepatitis C, Hepatitis B, Influenza A, HTLV-I infection, Herpes simplex infection, Proteoglycans in cancer, Asthma, Inflammatory bowel disease (IBD), Systemic lupus erythematosus, Rheumatoid arthritis, Allograft rejection, Graft-versus-host disease, Hypertrophic cardiomyopathy (HCM), Dilated cardiomyopathy",Cytokine: tumor necrosis factor,,"5YOY, 5WUX, 5UUI, 5TSW, 5MU8",.,1.0
"MAPK signaling pathway, Cytokine-cytokine receptor interaction, NF-kappa B signaling pathway, Sphingolipid signaling pathway, mTOR signaling pathway, Apoptosis, TGF-beta signaling pathway, Osteoclast differentiation, Antigen processing and presentation, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, RIG-I-like receptor signaling pathway, Hematopoietic cell lineage, Natural killer cell mediated cytotoxicity, T cell receptor signaling pathway, Fc epsilon RI signaling pathway, TNF signaling pathway, Adipocytokine signaling pathway, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Type I diabetes mellitus, Alzheimer's disease, Amyotrophic lateral sclerosis (ALS), Pertussis, Legionellosis, Leishmaniasis, Chagas disease (American trypanosomiasis), African trypanosomiasis, Malaria, Toxoplasmosis, Amoebiasis, Tuberculosis, Hepatitis C, Hepatitis B, Influenza A, HTLV-I infection, Herpes simplex infection, Proteoglycans in cancer, Asthma, Inflammatory bowel disease (IBD), Systemic lupus erythematosus, Rheumatoid arthritis, Allograft rejection, Graft-versus-host disease, Hypertrophic cardiomyopathy (HCM), Dilated cardiomyopathy",Cytokine: tumor necrosis factor,,"5YOY, 5WUX, 5UUI, 5TSW, 5MU8",Suppressor,1.0
,mRNA target,,"5YOY, 5WUX, 5UUI, 5TSW, 5MU8",.,0.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,2HE6,Antagonist,0.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,2HE6,Inhibitor,0.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,2HE6,Agonist,0.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, PI3K-Akt signaling pathway, Osteoclast differentiation, Hematopoietic cell lineage, Pathways in cancer, Transcriptional misregulation in cancer, Acute myeloid leukemia",Kinase,Transferases,"4WRM, 4WRL, 4R7I, 4R7H, 4LIQ",Antagonist,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, PI3K-Akt signaling pathway, Osteoclast differentiation, Hematopoietic cell lineage, Pathways in cancer, Transcriptional misregulation in cancer, Acute myeloid leukemia",Kinase,Transferases,"4WRM, 4WRL, 4R7I, 4R7H, 4LIQ",Inhibitor,1.0
"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, PI3K-Akt signaling pathway, Osteoclast differentiation, Hematopoietic cell lineage, Pathways in cancer, Transcriptional misregulation in cancer, Acute myeloid leukemia",Kinase,Transferases,"4WRM, 4WRL, 4R7I, 4R7H, 4LIQ",.,1.0
"Nitrogen metabolism, Proximal tubule bicarbonate reclamation, Collecting duct acid secretion, Gastric acid secretion, Pancreatic secretion, Bile secretion",Alpha-carbonic anhydrase,Lyases,"9CA2, 8CA2, 7CA2, 6QEB, 6MBY",Inhibitor,1.0
"Porphyrin and chlorophyll metabolism, Metabolic pathways",Alpha-carbonic anhydrase,Lyases,"5HNR, 5HMS, 1PV8, 1.00E+51",Inhibitor,1.0
"Purine metabolism, Morphine addiction",Phosphoric diester hydrolase,Hydrolases,1LXW,Inhibitor,0.0
"Purine metabolism, Morphine addiction",Phosphoric diester hydrolase,Hydrolases,1LXW,Modulator,0.0
"Neuroactive ligand-receptor interaction, Cholinergic synapse, Regulation of actin cytoskeleton",GPCR rhodopsin,,"6D9H, 5DSG",Inhibitor,1.0
"Neuroactive ligand-receptor interaction, Cholinergic synapse, Regulation of actin cytoskeleton",GPCR rhodopsin,,"6D9H, 5DSG",Agonist,1.0
"Neuroactive ligand-receptor interaction, Cholinergic synapse, Regulation of actin cytoskeleton",GPCR rhodopsin,,"6D9H, 5DSG",Modulator,1.0
"Neuroactive ligand-receptor interaction, Cholinergic synapse, Regulation of actin cytoskeleton",GPCR rhodopsin,,"6D9H, 5DSG",Antagonist,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, mTOR signaling pathway, PI3K-Akt signaling pathway, VEGF signaling pathway, Focal adhesion, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Renal cell carcinoma, Pancreatic cancer, Bladder cancer, Rheumatoid arthritis",Growth factor,,"6D3O, 6BFT, 5T89, 5O4E, 5HHD",Inhibitor,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, mTOR signaling pathway, PI3K-Akt signaling pathway, VEGF signaling pathway, Focal adhesion, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Renal cell carcinoma, Pancreatic cancer, Bladder cancer, Rheumatoid arthritis",Growth factor,,"6D3O, 6BFT, 5T89, 5O4E, 5HHD",Modulator,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, mTOR signaling pathway, PI3K-Akt signaling pathway, VEGF signaling pathway, Focal adhesion, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Renal cell carcinoma, Pancreatic cancer, Bladder cancer, Rheumatoid arthritis",Growth factor,,"6D3O, 6BFT, 5T89, 5O4E, 5HHD",Stablizer,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, mTOR signaling pathway, PI3K-Akt signaling pathway, VEGF signaling pathway, Focal adhesion, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Renal cell carcinoma, Pancreatic cancer, Bladder cancer, Rheumatoid arthritis",Growth factor,,"6D3O, 6BFT, 5T89, 5O4E, 5HHD",Binder,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, mTOR signaling pathway, PI3K-Akt signaling pathway, VEGF signaling pathway, Focal adhesion, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Renal cell carcinoma, Pancreatic cancer, Bladder cancer, Rheumatoid arthritis",Growth factor,,"6D3O, 6BFT, 5T89, 5O4E, 5HHD",.,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, mTOR signaling pathway, PI3K-Akt signaling pathway, VEGF signaling pathway, Focal adhesion, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Renal cell carcinoma, Pancreatic cancer, Bladder cancer, Rheumatoid arthritis",Growth factor,,"6D3O, 6BFT, 5T89, 5O4E, 5HHD",Disrupter,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, HIF-1 signaling pathway, mTOR signaling pathway, PI3K-Akt signaling pathway, VEGF signaling pathway, Focal adhesion, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Renal cell carcinoma, Pancreatic cancer, Bladder cancer, Rheumatoid arthritis",Growth factor,,"6D3O, 6BFT, 5T89, 5O4E, 5HHD",Blocker,1.0
"Cytokine-cytokine receptor interaction, NF-kappa B signaling pathway, Osteoclast differentiation, Prolactin signaling pathway, Rheumatoid arthritis",Cytokine: tumor necrosis factor,,"5BNQ, 3URF",Inhibitor,1.0
"Cytokine-cytokine receptor interaction, NF-kappa B signaling pathway, Osteoclast differentiation, Prolactin signaling pathway, Rheumatoid arthritis",Cytokine: tumor necrosis factor,,"5BNQ, 3URF",.,1.0
"Galactose metabolism, Glycerolipid metabolism, Sphingolipid metabolism, Glycosphingolipid biosynthesis - globo series, Lysosome",Glycosylase,Hydrolases,"4NXS, 3TV8, 3S5Z, 3S5Y, 3LXC",Inhibitor,1.0
"Galactose metabolism, Glycerolipid metabolism, Sphingolipid metabolism, Glycosphingolipid biosynthesis - globo series, Lysosome",Glycosylase,Hydrolases,"4NXS, 3TV8, 3S5Z, 3S5Y, 3LXC",Modulator,1.0
"Galactose metabolism, Glycerolipid metabolism, Sphingolipid metabolism, Glycosphingolipid biosynthesis - globo series, Lysosome",Glycosylase,Hydrolases,"4NXS, 3TV8, 3S5Z, 3S5Y, 3LXC",.,1.0
"Cytokine-cytokine receptor interaction, Inflammatory bowel disease (IBD), Rheumatoid arthritis",Cytokine: interleukin,,"5VB9, 5NAN, 5N92, 5N7W, 5HI5",.,1.0
"Cytokine-cytokine receptor interaction, Inflammatory bowel disease (IBD), Rheumatoid arthritis",Cytokine: interleukin,,"5VB9, 5NAN, 5N92, 5N7W, 5HI5",Inhibitor,1.0
"Cytokine-cytokine receptor interaction, Inflammatory bowel disease (IBD), Rheumatoid arthritis",Cytokine: interleukin,,"5VB9, 5NAN, 5N92, 5N7W, 5HI5",Modulator,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Gap junction, Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Morphine addiction, Alcoholism",GPCR rhodopsin,,1OZ5,Agonist,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Gap junction, Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Morphine addiction, Alcoholism",GPCR rhodopsin,,1OZ5,Antagonist,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Gap junction, Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Morphine addiction, Alcoholism",GPCR rhodopsin,,1OZ5,Inhibitor,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Gap junction, Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Morphine addiction, Alcoholism",GPCR rhodopsin,,1OZ5,Modulator,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Gap junction, Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Morphine addiction, Alcoholism",GPCR rhodopsin,,1OZ5,Binder,1.0
"Phagosome, Osteoclast differentiation, Platelet activation, Fc gamma R-mediated phagocytosis, Leishmaniasis, Staphylococcus aureus infection, Tuberculosis, Systemic lupus erythematosus",Immunoglobulin,,"3RY6, 3RY5, 3RY4, 3D5O, 1H9V",Antagonist,1.0
"Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Circadian entrainment, Long-term potentiation, Glutamatergic synapse, Dopaminergic synapse, Alzheimer's disease, Amyotrophic lateral sclerosis (ALS), Cocaine addiction, Amphetamine addiction, Nicotine addiction, Alcoholism, Systemic lupus erythematosus",Glutamate-gated ion channel,,"6IRH, 6IRG, 6IRF, 6IRA, 5TPA",Agonist,1.0
"Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Circadian entrainment, Long-term potentiation, Glutamatergic synapse, Dopaminergic synapse, Alzheimer's disease, Amyotrophic lateral sclerosis (ALS), Cocaine addiction, Amphetamine addiction, Nicotine addiction, Alcoholism, Systemic lupus erythematosus",Glutamate-gated ion channel,,"6IRH, 6IRG, 6IRF, 6IRA, 5TPA",Blocker (channel blocker),1.0
"Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Circadian entrainment, Long-term potentiation, Glutamatergic synapse, Dopaminergic synapse, Alzheimer's disease, Amyotrophic lateral sclerosis (ALS), Cocaine addiction, Amphetamine addiction, Nicotine addiction, Alcoholism, Systemic lupus erythematosus",Glutamate-gated ion channel,,"6IRH, 6IRG, 6IRF, 6IRA, 5TPA",Antagonist,1.0
"Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Circadian entrainment, Long-term potentiation, Glutamatergic synapse, Dopaminergic synapse, Alzheimer's disease, Amyotrophic lateral sclerosis (ALS), Cocaine addiction, Amphetamine addiction, Nicotine addiction, Alcoholism, Systemic lupus erythematosus",Glutamate-gated ion channel,,"6IRH, 6IRG, 6IRF, 6IRA, 5TPA",Modulator (allosteric modulator),1.0
"Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Circadian entrainment, Long-term potentiation, Glutamatergic synapse, Dopaminergic synapse, Alzheimer's disease, Amyotrophic lateral sclerosis (ALS), Cocaine addiction, Amphetamine addiction, Nicotine addiction, Alcoholism, Systemic lupus erythematosus",Glutamate-gated ion channel,,"6IRH, 6IRG, 6IRF, 6IRA, 5TPA",Inhibitor,1.0
